id_client,culture,hectar,parcelas,rating,score,endividamento_curto,endividamento_medio,endividamento_longo,inadimplencia,amount
232,Trigo,30,6,D,526,6233,1446,78522,1,166320
233,Trigo,25,6,C,319,2099,13180,71613,0,138600
234,Feijão,19,24,C,338,18903,12967,15835,1,116850
235,Arroz,27,18,B,837,5744,18056,98607,1,271782
236,Feijão,43,8,C,587,18493,3712,84203,1,264450
237,Feijão,24,18,B,542,7186,32488,6887,0,147600
238,Milho,50,12,A,574,17092,46557,45548,1,541200
239,Trigo,37,12,D,518,1054,13143,79475,1,205128
240,Feijão,1,8,B,389,2369,18425,37746,0,6150
241,Feijão,46,6,C,317,18138,30491,66074,0,282900
242,Arroz,9,24,D,646,19463,47140,57923,1,90594
243,Trigo,26,10,C,398,8839,38112,5073,1,144144
244,Arroz,12,6,D,734,2239,3162,46175,1,120792
245,Trigo,38,18,D,448,7344,28194,25100,0,210672
246,Trigo,3,10,D,832,15603,12367,5188,0,16632
247,Trigo,14,10,C,407,15875,48368,89421,0,77616
248,Milho,37,10,A,612,9668,9719,58670,1,400488
249,Feijão,31,10,B,458,5457,28669,88526,0,190650
250,Feijão,4,10,C,748,5402,16001,31019,0,24600
251,Soja,46,18,A,712,729,47265,66663,0,212750
252,Feijão,7,6,A,315,10451,42296,43041,1,43050
253,Feijão,35,18,A,328,11620,15841,27648,0,215250
254,Trigo,5,6,C,505,19309,10000,9453,0,27720
255,Feijão,33,8,B,465,4783,27604,99872,1,202950
256,Milho,47,24,C,467,5029,36851,28081,0,508728
257,Soja,33,8,D,592,13666,25651,73613,1,152625
258,Arroz,13,12,D,443,16462,2601,66955,0,130858
259,Milho,18,12,D,822,9329,34724,32637,1,194832
260,Trigo,25,24,C,674,3631,12937,14931,0,138600
261,Milho,44,18,A,787,18958,34352,46464,0,476256
262,Feijão,28,18,C,663,19917,14270,32210,0,172200
263,Milho,4,10,D,446,8019,42309,78989,1,43296
264,Soja,47,18,B,344,13518,30520,60693,0,217375
265,Milho,16,12,C,812,1361,18492,92688,1,173184
266,Soja,44,10,B,715,9022,937,27913,1,203500
267,Trigo,15,24,B,568,234,1750,83468,0,83160
268,Arroz,12,8,B,382,19623,40370,90181,1,120792
269,Arroz,32,10,D,685,7126,10058,58305,0,322112
270,Trigo,25,24,D,409,14930,35563,404,0,138600
271,Milho,46,6,B,601,6667,44112,92093,1,497904
272,Feijão,33,12,B,627,1545,26715,83984,0,202950
273,Arroz,9,18,A,734,4238,49176,26308,1,90594
274,Feijão,30,10,C,847,31,19591,74834,0,184500
275,Arroz,2,18,C,500,3680,30994,17271,0,20132
276,Arroz,49,10,D,647,13585,31850,81877,0,493234
277,Feijão,18,6,A,504,12639,37664,32554,1,110700
278,Milho,38,24,A,762,9197,22906,49451,1,411312
279,Trigo,14,18,B,790,155,10706,61367,0,77616
280,Feijão,21,24,B,589,18465,35090,70180,1,129150
281,Trigo,44,18,B,753,6227,36255,26184,0,243936
282,Milho,4,10,B,755,11537,27594,44626,0,43296
283,Soja,7,12,A,461,9914,2370,58324,0,32375
284,Soja,29,6,D,373,5821,49138,73813,1,134125
285,Arroz,2,12,A,322,13911,30328,18191,0,20132
286,Feijão,28,8,A,343,5305,15963,42129,0,172200
287,Arroz,33,10,D,669,18665,9439,89618,0,332178
288,Milho,26,10,B,803,16423,30449,46147,0,281424
289,Trigo,15,8,D,760,6151,47503,94884,0,83160
290,Trigo,25,12,D,700,9823,36015,18275,1,138600
291,Feijão,12,24,A,431,5598,18396,66412,0,73800
292,Arroz,16,8,B,435,10947,8125,68900,1,161056
293,Arroz,45,10,C,556,14660,32705,32331,1,452970
294,Milho,35,8,A,520,19769,37022,16321,1,378840
295,Soja,21,6,B,688,16703,31923,30382,1,97125
296,Feijão,39,18,D,590,532,15356,25419,1,239850
297,Feijão,34,12,D,389,16463,31127,30509,1,209100
298,Soja,49,6,C,754,15162,8924,3266,1,226625
299,Soja,10,18,C,626,5865,290,16024,0,46250
300,Trigo,30,6,D,424,16127,13273,28113,1,166320
301,Arroz,43,12,B,453,14193,39770,18783,1,432838
302,Soja,35,10,C,524,8045,23718,11503,1,161875
303,Feijão,46,8,D,841,12788,5053,46498,1,282900
304,Milho,15,8,A,644,8204,37827,69117,0,162360
305,Soja,21,12,A,715,4929,12788,19350,1,97125
306,Milho,33,12,B,406,4442,35483,71905,1,357192
307,Milho,33,8,A,318,14040,26940,63792,0,357192
308,Soja,7,6,B,681,15360,15307,34725,0,32375
309,Soja,38,18,A,471,9600,4750,53791,0,175750
310,Trigo,13,10,B,699,9766,27268,5413,0,72072
311,Soja,30,24,A,498,12229,25781,83496,0,138750
312,Feijão,23,10,D,438,14454,27343,87371,0,141450
313,Feijão,9,12,A,774,4289,47319,32457,0,55350
314,Milho,8,24,B,801,7258,8086,33855,0,86592
315,Feijão,24,24,A,370,2216,49734,3097,1,147600
316,Feijão,9,10,A,664,51,3809,79613,1,55350
317,Trigo,45,12,C,363,14043,25066,74563,0,249480
318,Trigo,6,18,D,731,13678,36615,47964,1,33264
319,Milho,2,18,C,647,8828,30210,33659,0,21648
320,Trigo,42,10,D,766,19264,37487,64336,1,232848
321,Soja,43,18,C,310,12142,11765,38863,0,198875
322,Soja,32,24,D,768,10069,40536,57813,1,148000
323,Feijão,38,10,A,630,16914,27633,54032,0,233700
324,Trigo,45,18,D,660,17343,37137,79620,0,249480
325,Arroz,10,24,B,303,13304,43237,17827,0,100660
326,Arroz,50,8,C,525,12444,48787,38580,1,503300
327,Milho,43,12,D,340,13458,46869,18738,1,465432
328,Milho,19,18,A,383,4690,44153,40934,1,205656
329,Arroz,41,10,C,586,4659,18260,17436,1,412706
330,Trigo,14,6,D,428,11080,19489,36954,0,77616
331,Trigo,39,6,C,499,5419,9078,80686,0,216216
332,Milho,6,10,C,388,18770,7489,96336,0,64944
333,Soja,15,6,C,600,3317,11620,56083,0,69375
334,Soja,48,24,B,324,13985,47573,87622,1,222000
335,Soja,47,10,D,730,1306,21837,28871,0,217375
336,Soja,44,8,B,807,11502,45849,49267,0,203500
337,Trigo,11,24,D,613,4191,35504,89397,1,60984
338,Feijão,6,12,A,331,16975,4090,43168,1,36900
339,Trigo,18,10,D,497,2327,26824,75090,0,99792
340,Soja,17,6,D,396,2229,24283,25486,0,78625
341,Trigo,43,10,B,796,11142,37073,20208,1,238392
342,Arroz,43,6,D,640,15154,35942,35742,0,432838
343,Milho,33,10,D,553,7866,36565,81258,0,357192
344,Soja,14,18,C,309,4051,5377,56996,0,64750
345,Trigo,32,10,A,706,3523,20052,65665,0,177408
346,Arroz,18,24,B,805,14688,35655,40530,0,181188
347,Milho,41,8,B,484,16081,13386,25799,0,443784
348,Milho,16,24,C,755,18728,9631,34013,0,173184
349,Soja,50,6,D,532,18433,22792,6322,1,231250
350,Feijão,24,24,B,396,10525,49780,91954,0,147600
351,Trigo,29,24,D,492,12901,49209,73589,0,160776
352,Soja,41,8,B,807,5013,34464,23061,1,189625
353,Feijão,32,12,D,616,1525,7880,96219,1,196800
354,Milho,14,12,A,393,5588,19680,91715,0,151536
355,Soja,11,8,A,672,9098,39322,10812,1,50875
356,Arroz,47,6,D,423,6959,16976,37045,0,473102
357,Milho,32,8,C,832,790,41531,61973,0,346368
358,Milho,48,18,A,737,14704,6377,93743,1,519552
359,Milho,3,12,D,819,7824,11545,79133,1,32472
360,Feijão,48,8,D,407,14325,44349,65667,0,295200
361,Soja,19,18,B,311,18977,34378,69288,1,87875
362,Arroz,22,8,A,523,18413,4219,93383,0,221452
363,Feijão,32,18,C,632,14332,25491,97040,0,196800
364,Feijão,43,10,B,474,8305,5868,56408,0,264450
365,Milho,25,8,B,514,16515,47500,82024,1,270600
366,Arroz,20,10,D,307,12718,2044,76448,0,201320
367,Trigo,5,24,A,673,4893,17536,39850,1,27720
368,Feijão,48,6,D,303,6363,21211,88310,1,295200
369,Soja,18,8,C,829,15981,34703,38032,1,83250
370,Trigo,23,8,D,763,10301,28668,9561,1,127512
371,Feijão,23,10,A,726,1392,677,58521,0,141450
372,Feijão,30,24,A,656,12533,45014,1400,1,184500
373,Soja,38,12,B,581,2513,21626,46218,0,175750
374,Feijão,34,18,C,639,13594,10489,54100,0,209100
375,Milho,33,6,B,697,17743,25674,47464,1,357192
376,Soja,16,18,B,355,12772,17335,23811,0,74000
377,Milho,29,24,C,448,17894,24046,21947,0,313896
378,Soja,25,10,B,768,1181,46474,46778,1,115625
379,Feijão,7,10,D,476,13394,48996,26371,1,43050
380,Milho,27,12,C,448,15609,23423,50585,1,292248
381,Arroz,34,24,A,677,16818,21756,71599,0,342244
382,Arroz,40,8,C,672,18602,3761,98140,0,402640
383,Feijão,21,10,D,643,11767,477,68389,1,129150
384,Milho,2,6,A,688,4874,35701,47750,1,21648
385,Milho,20,8,D,350,16257,15373,6297,1,216480
386,Feijão,11,12,D,406,17415,863,18829,0,67650
387,Arroz,26,8,B,827,11079,17762,35119,0,261716
388,Milho,34,18,B,822,1880,27993,18270,1,368016
389,Arroz,31,10,B,745,16169,27319,72326,1,312046
390,Feijão,23,24,B,589,4136,23096,1649,0,141450
391,Arroz,39,24,A,481,2154,20054,2462,1,392574
392,Trigo,8,12,B,488,1037,13108,64225,1,44352
393,Feijão,33,6,D,826,12521,9362,28659,1,202950
394,Soja,37,12,B,366,904,30889,17598,1,171125
395,Feijão,8,18,B,563,17334,23259,82498,0,49200
396,Milho,15,10,A,457,5921,4947,58696,0,162360
397,Arroz,20,24,A,597,852,46892,19947,1,201320
398,Arroz,34,18,B,406,16298,5454,45357,1,342244
399,Arroz,45,12,C,633,3205,28097,35189,0,452970
400,Feijão,22,6,A,375,2380,21485,23636,1,135300
401,Arroz,49,18,A,595,15143,37965,64059,0,493234
402,Trigo,4,8,A,505,8311,22383,92991,0,22176
403,Trigo,19,10,A,510,4805,11815,36721,1,105336
404,Soja,2,24,B,848,5255,23279,68225,1,9250
405,Soja,34,8,C,681,18974,15628,49508,1,157250
406,Trigo,3,12,B,743,19469,26886,54305,1,16632
407,Feijão,5,12,C,383,1697,16276,80912,1,30750
408,Feijão,15,8,D,504,4127,36620,45726,0,92250
409,Milho,35,12,B,641,10296,3917,61445,1,378840
410,Soja,23,8,D,844,12050,1463,84254,1,106375
411,Feijão,45,18,C,706,2447,21457,22684,0,276750
412,Soja,5,24,A,414,3046,31152,56852,0,23125
413,Arroz,18,24,C,454,9991,40316,12417,1,181188
414,Feijão,17,24,A,429,7859,37613,46019,1,104550
415,Feijão,43,8,A,644,9391,15231,92749,0,264450
416,Soja,47,6,C,349,15880,19313,39035,0,217375
417,Soja,29,12,D,809,11683,7002,5154,0,134125
418,Arroz,2,24,D,792,9056,36786,74729,0,20132
419,Arroz,31,24,D,373,11053,46127,22171,0,312046
420,Milho,19,8,A,621,17897,34323,90626,1,205656
421,Trigo,43,24,D,800,11574,495,38730,1,238392
422,Milho,22,24,A,759,11761,12284,77298,0,238128
423,Trigo,14,8,D,446,6246,10589,78095,1,77616
424,Milho,22,6,A,441,16245,16733,33235,0,238128
425,Milho,43,12,B,355,16144,44989,86174,0,465432
426,Milho,12,24,D,466,4526,46840,78099,1,129888
427,Soja,50,18,D,740,11344,17749,6208,0,231250
428,Feijão,29,8,A,726,1573,25455,96058,1,178350
429,Arroz,1,8,D,730,9585,1552,60570,0,10066
430,Arroz,14,12,A,804,4970,1003,67993,0,140924
431,Feijão,28,24,B,542,6859,18827,24984,1,172200
432,Feijão,35,12,A,832,12227,49442,57627,0,215250
433,Milho,23,18,D,737,16297,32399,61716,1,248952
434,Arroz,11,24,A,667,2114,28497,49196,0,110726
435,Soja,20,10,C,491,5103,6052,13666,1,92500
436,Feijão,32,6,D,597,2744,23027,27446,1,196800
437,Feijão,6,18,B,382,1642,25338,62359,0,36900
438,Arroz,33,10,C,506,13858,10393,11609,0,332178
439,Feijão,29,12,A,408,8337,41375,18235,1,178350
440,Arroz,19,18,C,423,7491,37602,52129,1,191254
441,Feijão,49,24,B,374,15534,27292,59937,1,301350
442,Trigo,14,10,D,794,4082,34043,48855,0,77616
443,Milho,49,8,A,747,12207,15060,81615,0,530376
444,Arroz,24,6,D,766,3546,46709,22760,0,241584
445,Milho,14,18,C,791,8040,29638,53307,0,151536
446,Feijão,18,6,C,569,11631,2971,77837,1,110700
447,Arroz,5,18,D,340,8472,9325,54300,0,50330
448,Feijão,26,10,D,776,11702,12952,94692,1,159900
449,Feijão,28,10,D,681,3947,35073,33021,1,172200
450,Feijão,41,10,A,793,16787,31123,65412,0,252150
451,Feijão,12,6,A,849,9411,24013,36386,0,73800
452,Arroz,43,24,B,496,3295,42807,78283,0,432838
453,Trigo,33,8,B,314,12946,30406,35147,0,182952
454,Feijão,32,10,A,592,2699,11731,98814,1,196800
455,Soja,15,12,D,846,10785,40370,25930,1,69375
456,Trigo,20,24,D,443,6417,48887,25613,1,110880
457,Feijão,49,10,D,694,19718,24692,89370,1,301350
458,Trigo,19,10,C,452,11421,19498,37690,1,105336
459,Trigo,35,12,B,473,8906,16548,59485,0,194040
460,Trigo,48,10,A,318,5122,43700,46028,1,266112
461,Milho,40,12,D,666,18369,997,8833,0,432960
462,Feijão,8,6,B,303,2684,49544,42747,1,49200
463,Arroz,34,18,B,670,4115,31335,23822,1,342244
464,Arroz,48,10,D,750,2017,41997,71655,1,483168
465,Feijão,23,24,C,567,17880,19086,43265,1,141450
466,Soja,12,12,B,548,6094,41609,24890,0,55500
467,Milho,16,24,D,524,3929,49741,27196,1,173184
468,Milho,12,24,A,303,8314,46128,70029,0,129888
469,Feijão,23,10,D,561,433,39945,21918,1,141450
470,Feijão,34,18,D,708,6242,3076,49220,1,209100
471,Feijão,10,8,C,549,1953,33942,2352,1,61500
472,Arroz,8,6,D,659,16463,36034,2197,1,80528
473,Milho,48,18,B,368,12707,21091,73484,1,519552
474,Trigo,29,8,A,632,6420,11151,92463,1,160776
475,Soja,16,12,D,752,13673,48079,2130,0,74000
476,Feijão,24,6,C,796,347,10496,95163,0,147600
477,Trigo,38,18,D,446,10394,30711,93050,0,210672
478,Arroz,21,6,D,462,17094,29942,84950,1,211386
479,Trigo,26,10,D,344,19938,9361,42440,0,144144
480,Feijão,29,12,D,463,5225,45368,78905,1,178350
481,Soja,18,6,D,551,8767,5288,96641,0,83250
482,Feijão,22,8,A,436,6431,42429,43109,1,135300
483,Feijão,4,8,D,701,8563,43399,38853,1,24600
484,Milho,24,6,A,843,17966,11558,55910,1,259776
485,Feijão,25,18,A,579,18932,6136,21917,1,153750
486,Milho,24,6,B,457,6603,47797,84376,0,259776
